,sub,r2_actual_vs_model,r2_actual_vs_avg,r2_model_increase_from_avg,pmc_actual_vs_model,pmc_actual_vs_avg
78,1716.0,-0.5921036037826566,-0.35462628693675624,-0.23747731684590034,"PearsonRResult(statistic=-0.002002633431361589, pvalue=0.9941270898861105)","PearsonRResult(statistic=nan, pvalue=nan)"
79,1960.0,-0.11692131725503896,-0.20924190466610026,0.0923205874110613,"PearsonRResult(statistic=-0.0062399921397016216, pvalue=0.9823915495100087)","PearsonRResult(statistic=nan, pvalue=nan)"
80,1961.0,-0.4819707714872312,-0.08127243018056052,-0.4006983413066707,"PearsonRResult(statistic=0.08887884273298302, pvalue=0.7727812539316974)","PearsonRResult(statistic=nan, pvalue=nan)"
81,1965.0,-0.040827134076286464,-0.040827134076286464,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
82,1966.0,-2.581725243321731e+30,-3.8378892970623283e+31,3.579716772730155e+31,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
83,1967.0,-1.3887875750174632,-0.13890842013888927,-1.249879154878574,"PearsonRResult(statistic=-0.1670205186298619, pvalue=0.5518747340763929)","PearsonRResult(statistic=nan, pvalue=nan)"
84,1971.0,-0.2662602139620247,-0.005001653439153264,-0.26125856052287144,"PearsonRResult(statistic=-0.022656655217903637, pvalue=0.9414346173216048)","PearsonRResult(statistic=nan, pvalue=nan)"
85,1974.0,-4.3502189937808975,-4.546599388340396,0.1963803945594984,"PearsonRResult(statistic=-0.11306730918237021, pvalue=0.6882668077952013)","PearsonRResult(statistic=nan, pvalue=nan)"
86,1975.0,-0.30315877471080666,-0.008496624103406791,-0.29466215060739986,"PearsonRResult(statistic=-0.306890326597326, pvalue=0.28586019443283345)","PearsonRResult(statistic=nan, pvalue=nan)"
87,1976.0,-0.27998543125315245,-0.08860949799536089,-0.19137593325779156,"PearsonRResult(statistic=-0.5114487237055378, pvalue=0.06157752028368181)","PearsonRResult(statistic=nan, pvalue=nan)"
