"ROW_ID","ROW_VERSION","participant_id","dt_response","week","happ_bh","happ_f","happ_fts","happ_inc","happ_ir","happ_iw","happ_m","happ_mdi","happ_mh","happ_o","happ_o_description"
"14911","10","ORANGE-00042","2014-10-31 15:49:40+00:00","5","1","0","0","0","1","1","1","1","0","0","0"
"14912","10","ORANGE-00042","2014-11-28 18:38:32+00:00","9","1","1","0","0","1","1","1","1","1","0","0"
"14913","10","ORANGE-00042","2014-12-26 18:46:40+00:00","13","0","0","0","0","0","0","1","1","1","0","0"
"14914","10","ORANGE-00044","2014-10-03 03:39:33+00:00","1","0","1","0","0","0","0","0","0","1","0","0"
"14915","10","ORANGE-00044","2014-11-01 18:42:37+00:00","5","0","0","0","0","0","1","1","0","1","0","0"
"14916","10","ORANGE-00049","2014-10-04 19:27:03+00:00","1","1","0","0","0","1","1","1","0","0","0","0"
"14917","10","ORANGE-00049","2014-11-01 14:13:33+00:00","5","1","0","0","0","0","0","0","0","0","0","0"
"14918","10","ORANGE-00049","2014-11-29 15:34:31+00:00","9","1","0","0","0","0","0","1","0","0","0","0"
"14919","10","ORANGE-00049","2014-12-27 22:08:01+00:00","13","0","0","0","0","0","0","0","1","0","0","0"
"14920","10","ORANGE-00050","2014-10-04 20:47:06+00:00","1","0","0","0","0","0","0","0","0","0","1","Money"
"14921","10","ORANGE-00051","2014-10-07 19:56:35+00:00","1","0","0","1","0","0","0","0","0","0","1","Ucsf study"
"14922","10","ORANGE-00051","2014-11-04 18:55:31+00:00","5","0","1","0","0","0","0","0","0","1","1","0"
"14923","10","ORANGE-00051","2014-12-02 22:32:29+00:00","9","0","0","0","0","0","0","0","0","1","0","0"
"14924","10","ORANGE-00051","2014-12-30 19:07:44+00:00","13","0","0","0","0","0","0","0","0","1","0","0"
"14925","10","ORANGE-00054","2014-10-05 21:30:00+00:00","1","1","0","0","0","0","0","0","0","0","0","0"
"14926","10","ORANGE-00054","2014-11-02 18:20:00+00:00","5","1","0","0","0","0","0","0","0","0","0","0"
"14927","10","ORANGE-00054","2014-11-30 16:55:06+00:00","9","0","0","0","0","0","0","1","0","0","0","0"
"14928","10","ORANGE-00055","2014-10-04 19:03:36+00:00","1","0","0","1","0","0","0","0","0","0","1","research study"
